Source_Titles,records,percent_of_total
SCANDINAVIAN JOURNAL OF PUBLIC HEALTH,12,0.04
STRESS AND HEALTH,12,0.04
TRANSLATIONAL BEHAVIORAL MEDICINE,12,0.04
WESTERN JOURNAL OF NURSING RESEARCH,12,0.04
AMERICAN JOURNAL OF PHYSIOLOGY RENAL PHYSIOLOGY,11,0.036
BIOMARKERS,11,0.036
BLOOD,11,0.036
BMJ OPEN DIABETES RESEARCH CARE,11,0.036
BRITISH MEDICAL JOURNAL,11,0.036
CARDIOLOGY JOURNAL,11,0.036
CARDIOVASCULAR JOURNAL OF AFRICA,11,0.036
CHILD ABUSE NEGLECT,11,0.036
CLINICAL AND EXPERIMENTAL NEPHROLOGY,11,0.036
CLINICAL AUTONOMIC RESEARCH,11,0.036
CONTEMPORARY CARDIOLOGY,11,0.036
CURRENT OPINION IN CLINICAL NUTRITION AND METABOLIC CARE,11,0.036
ENVIRONMENTAL HEALTH,11,0.036
FRONTIERS IN PSYCHIATRY,11,0.036
GASTROENTEROLOGY,11,0.036
GERIATRICS GERONTOLOGY INTERNATIONAL,11,0.036
GUT,11,0.036
HEART FAILURE REVIEWS,11,0.036
INTERNAL MEDICINE,11,0.036
INTERNATIONAL JOURNAL FOR EQUITY IN HEALTH,11,0.036
IRANIAN RED CRESCENT MEDICAL JOURNAL,11,0.036
JAMA NETWORK OPEN,11,0.036
JOURNAL OF ADVANCED NURSING,11,0.036
JOURNAL OF CLINICAL NURSING,11,0.036
JOURNAL OF DEVELOPMENTAL ORIGINS OF HEALTH AND DISEASE,11,0.036
JOURNAL OF FAMILY PSYCHOLOGY,11,0.036
JOURNAL OF MATERNAL FETAL NEONATAL MEDICINE,11,0.036
JOURNAL OF YOUTH AND ADOLESCENCE,11,0.036
KOREAN JOURNAL OF FAMILY MEDICINE,11,0.036
MATERNAL AND CHILD NUTRITION,11,0.036
NUTRITION DIETETICS,11,0.036
PACE PACING AND CLINICAL ELECTROPHYSIOLOGY,11,0.036
PAKISTAN JOURNAL OF MEDICAL SCIENCES,11,0.036
PHYSIOLOGICAL GENOMICS,11,0.036
PHYSIOLOGICAL REPORTS,11,0.036
POPULATION RESEARCH AND POLICY REVIEW,11,0.036
PSYCHOLOGY HEALTH MEDICINE,11,0.036
PUBLIC HEALTH NURSING,11,0.036
REGULATORY TOXICOLOGY AND PHARMACOLOGY,11,0.036
RESEARCH QUARTERLY FOR EXERCISE AND SPORT,11,0.036
RESPIRATORY RESEARCH,11,0.036
REVISTA MEDICA DE CHILE,11,0.036
RHEUMATOLOGY,11,0.036
SCIENCE OF THE TOTAL ENVIRONMENT,11,0.036
SEX ROLES,11,0.036
SOCIAL SCIENCE RESEARCH,11,0.036
TOHOKU JOURNAL OF EXPERIMENTAL MEDICINE,11,0.036
TOXICOLOGY AND APPLIED PHARMACOLOGY,11,0.036
ACTA PAEDIATRICA,10,0.033
AIDS AND BEHAVIOR,10,0.033
AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,10,0.033
AMERICAN JOURNAL OF DRUG AND ALCOHOL ABUSE,10,0.033
AMERICAN JOURNAL OF ORTHOPSYCHIATRY,10,0.033
ARQUIVOS BRASILEIROS DE ENDOCRINOLOGIA E METABOLOGIA,10,0.033
ARTHRITIS RESEARCH THERAPY,10,0.033
BRITISH JOURNAL OF PSYCHIATRY,10,0.033
CANADIAN MEDICAL ASSOCIATION JOURNAL,10,0.033
CANCER RESEARCH,10,0.033
CARCINOGENESIS,10,0.033
CARDIOLOGY CLINICS,10,0.033
CARDIOVASCULAR ULTRASOUND,10,0.033
CLINICAL AND EXPERIMENTAL PHARMACOLOGY AND PHYSIOLOGY,10,0.033
COMPREHENSIVE PHYSIOLOGY,10,0.033
CONTEMPORARY ENDOCRINOLOGY,10,0.033
CURRENT PSYCHIATRY REPORTS,10,0.033
DEUTSCHE MEDIZINISCHE WOCHENSCHRIFT,10,0.033
DEVELOPMENTAL PSYCHOBIOLOGY,10,0.033
DIABETES VASCULAR DISEASE RESEARCH,10,0.033
ECOLOGY OF FOOD AND NUTRITION,10,0.033
ENDOCRINE METABOLIC IMMUNE DISORDERS DRUG TARGETS,10,0.033
EUROPEAN JOURNAL OF INTERNAL MEDICINE,10,0.033
EXPERIMENTAL PHYSIOLOGY,10,0.033
FOOD POLICY,10,0.033
FRONTIERS IN PUBLIC HEALTH,10,0.033
GENERAL HOSPITAL PSYCHIATRY,10,0.033
HEALTH ECONOMICS,10,0.033
HEART RHYTHM,10,0.033
HUMAN BIOLOGY,10,0.033
INTERNATIONAL JOURNAL OF HEALTH SERVICES,10,0.033
JAMA PEDIATRICS,10,0.033
JMIR MHEALTH AND UHEALTH,10,0.033
JOURNAL OF CELLULAR AND MOLECULAR MEDICINE,10,0.033
JOURNAL OF CELLULAR PHYSIOLOGY,10,0.033
JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,10,0.033
JOURNAL OF FUNCTIONAL FOODS,10,0.033
JOURNAL OF HEPATOLOGY,10,0.033
JOURNAL OF HUMAN GENETICS,10,0.033
JOURNAL OF MEDICAL INTERNET RESEARCH,10,0.033
JOURNAL OF MEDICINAL FOOD,10,0.033
JOURNAL OF MIDWIFERY WOMENS HEALTH,10,0.033
JOURNAL OF NUTRITION HEALTH AGING,10,0.033
JOURNAL OF OCCUPATIONAL HEALTH,10,0.033
JOURNAL OF RURAL HEALTH,10,0.033
JOURNAL OF VASCULAR SURGERY,10,0.033
LIFE SCIENCES,10,0.033
MOLECULAR AND CELLULAR BIOCHEMISTRY,10,0.033
MOLECULAR GENETICS AND METABOLISM,10,0.033
NATURE REVIEWS ENDOCRINOLOGY,10,0.033
NEUROPSYCHOPHARMACOLOGY,10,0.033
OPEN HEART,10,0.033
PATIENT EDUCATION AND COUNSELING,10,0.033
PEERJ,10,0.033
POSTGRADUATE MEDICAL JOURNAL,10,0.033
POSTGRADUATE MEDICINE,10,0.033
PROGRESS IN NUTRITION,10,0.033
PSYCHOLOGICAL SCIENCE,10,0.033
SURGERY FOR OBESITY AND RELATED DISEASES,10,0.033
TRANSLATIONAL RESEARCH,10,0.033
VASCULAR MEDICINE,10,0.033
ALCOHOL AND ALCOHOLISM,9,0.03
ALLERGY,9,0.03
AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,9,0.03
AMERICAN JOURNAL ON ADDICTIONS,9,0.03
ANNUAL REVIEW OF CLINICAL PSYCHOLOGY,9,0.03
ANNUAL REVIEW OF PSYCHOLOGY,9,0.03
ARCHIVOS DE BRONCONEUMOLOGIA,9,0.03
AUSTRALIAN JOURNAL OF DAIRY TECHNOLOGY,9,0.03
BEHAVIORAL MEDICINE,9,0.03
BIOCHIMICA ET BIOPHYSICA ACTA MOLECULAR BASIS OF DISEASE,9,0.03
BIOMARKERS IN MEDICINE,9,0.03
BLOOD COAGULATION FIBRINOLYSIS,9,0.03
BMC PULMONARY MEDICINE,9,0.03
BRITISH JOURNAL OF HAEMATOLOGY,9,0.03
CANADIAN JOURNAL OF PHYSIOLOGY AND PHARMACOLOGY,9,0.03
CHILDHOOD OBESITY,9,0.03
CHILDREN BASEL,9,0.03
CLIMACTERIC,9,0.03
CLINICAL RESEARCH IN CARDIOLOGY,9,0.03
COLLEGIUM ANTROPOLOGICUM,9,0.03
COMMUNITY MENTAL HEALTH JOURNAL,9,0.03
COPD JOURNAL OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE,9,0.03
CURRENT DIABETES REVIEWS,9,0.03
ENDOCRINE CONNECTIONS,9,0.03
EXPERIMENTAL AND CLINICAL ENDOCRINOLOGY DIABETES,9,0.03
EXPERT REVIEW OF CARDIOVASCULAR THERAPY,9,0.03
FOOD NUTRITION RESEARCH,9,0.03
FRONTIERS IN NEUROLOGY,9,0.03
FRONTIERS IN PEDIATRICS,9,0.03
HEALTH EDUCATION RESEARCH,9,0.03
HEART LUNG,9,0.03
HELLENIC JOURNAL OF CARDIOLOGY,9,0.03
HIGH BLOOD PRESSURE CARDIOVASCULAR PREVENTION,9,0.03
HISPANIC JOURNAL OF BEHAVIORAL SCIENCES,9,0.03
HORMONES AND BEHAVIOR,9,0.03
INTERNATIONAL JOURNAL OF CHRONIC OBSTRUCTIVE PULMONARY DISEASE,9,0.03
INTERNATIONAL JOURNAL OF DIABETES IN DEVELOPING COUNTRIES,9,0.03
INTERNATIONAL JOURNAL OF HEALTH GEOGRAPHICS,9,0.03
INTERNATIONAL JOURNAL OF PSYCHIATRY IN MEDICINE,9,0.03
JAMA PSYCHIATRY,9,0.03
JMIR RESEARCH PROTOCOLS,9,0.03
JOURNAL OF ADOLESCENCE,9,0.03
JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,9,0.03
JOURNAL OF CARDIOVASCULAR COMPUTED TOMOGRAPHY,9,0.03
JOURNAL OF CLINICAL ONCOLOGY,9,0.03
JOURNAL OF HEALTH POPULATION AND NUTRITION,9,0.03
JOURNAL OF MOLECULAR MEDICINE JMM,9,0.03
JOURNAL OF OBESITY,9,0.03
JOURNAL OF OCCUPATIONAL HEALTH PSYCHOLOGY,9,0.03
JOURNAL OF PERINATOLOGY,9,0.03
JOURNAL OF WOMENS HEALTH GENDER BASED MEDICINE,9,0.03
KIDNEY BLOOD PRESSURE RESEARCH,9,0.03
LUNG,9,0.03
MOLECULAR BIOLOGY REPORTS,9,0.03
NATURE AND SCIENCE OF SLEEP,9,0.03
NEUROBIOLOGY OF AGING,9,0.03
NEUROIMAGE,9,0.03
NEUROPSYCHIATRIC DISEASE AND TREATMENT,9,0.03
NURSING RESEARCH,9,0.03
NUTRITION AND HEALTH SERIES,9,0.03
OBSTETRICS AND GYNECOLOGY CLINICS OF NORTH AMERICA,9,0.03
PEDIATRIC PULMONOLOGY,9,0.03
PFLUGERS ARCHIV EUROPEAN JOURNAL OF PHYSIOLOGY,9,0.03
PREGNANCY HYPERTENSION AN INTERNATIONAL JOURNAL OF WOMENS CARDIOVASCULAR HEALTH,9,0.03
PSYCHOLOGY AND AGING,9,0.03
RADIOLOGY,9,0.03
REVUE D EPIDEMIOLOGIE ET DE SANTE PUBLIQUE,9,0.03
TWIN RESEARCH AND HUMAN GENETICS,9,0.03
YONSEI MEDICAL JOURNAL,9,0.03
ACTA PSYCHIATRICA SCANDINAVICA,8,0.026
AMERICAN JOURNAL OF PERINATOLOGY,8,0.026
ARCHIVES OF CARDIOVASCULAR DISEASES,8,0.026
ARCHIVES OF DISEASE IN CHILDHOOD,8,0.026
ARCHIVES OF GENERAL PSYCHIATRY,8,0.026
ARCHIVES OF IRANIAN MEDICINE,8,0.026
ARCHIVES OF WOMENS MENTAL HEALTH,8,0.026
ARTHRITIS CARE RESEARCH,8,0.026
ASIA PACIFIC JOURNAL OF PUBLIC HEALTH,8,0.026
BIODEMOGRAPHY AND SOCIAL BIOLOGY,8,0.026
BMC GENETICS,8,0.026
BRATISLAVA MEDICAL JOURNAL BRATISLAVSKE LEKARSKE LISTY,8,0.026
BRITISH JOURNAL OF CANCER,8,0.026
BRITISH JOURNAL OF CLINICAL PHARMACOLOGY,8,0.026
BRITISH JOURNAL OF PHARMACOLOGY,8,0.026
CLINICAL GASTROENTEROLOGY AND HEPATOLOGY,8,0.026
CLINICAL PHARMACOLOGY THERAPEUTICS,8,0.026
CLINICS IN CHEST MEDICINE,8,0.026
COUNSELING PSYCHOLOGIST,8,0.026
CURRENT OPINION IN RHEUMATOLOGY,8,0.026
DEMOGRAPHY,8,0.026
ENDOCRINE JOURNAL,8,0.026
ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,8,0.026
EVIDENCE BASED COMPLEMENTARY AND ALTERNATIVE MEDICINE,8,0.026
EXPERIMENTAL AND THERAPEUTIC MEDICINE,8,0.026
FREE RADICAL RESEARCH,8,0.026
FRONTIERS IN AGING NEUROSCIENCE,8,0.026
FRONTIERS IN BIOSCIENCE LANDMARK,8,0.026
FRONTIERS IN NEUROSCIENCE,8,0.026
HEALTH SERVICES RESEARCH,8,0.026
HUMAN HEREDITY,8,0.026
INDIAN JOURNAL OF MEDICAL RESEARCH,8,0.026
INTERNATIONAL HEART JOURNAL,8,0.026
INTERNATIONAL JOURNAL OF CIRCUMPOLAR HEALTH,8,0.026
INTERNATIONAL UROLOGY AND NEPHROLOGY,8,0.026
ISRAEL MEDICAL ASSOCIATION JOURNAL,8,0.026
JOURNAL OF BIOSOCIAL SCIENCE,8,0.026
JOURNAL OF CARDIAC FAILURE,8,0.026
JOURNAL OF CARDIOVASCULAR PHARMACOLOGY,8,0.026
JOURNAL OF DIABETES AND METABOLIC DISORDERS,8,0.026
JOURNAL OF ETHNICITY IN SUBSTANCE ABUSE,8,0.026
JOURNAL OF PEDIATRIC NURSING NURSING CARE OF CHILDREN FAMILIES,8,0.026
JOURNAL OF RESEARCH IN MEDICAL SCIENCES,8,0.026
JOURNAL OF THE PAKISTAN MEDICAL ASSOCIATION,8,0.026
JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY,8,0.026
JOURNAL OF TRANSCULTURAL NURSING,8,0.026
MOLECULAR AND CELLULAR ENDOCRINOLOGY,8,0.026
MOLECULES,8,0.026
NATURE CLINICAL PRACTICE CARDIOVASCULAR MEDICINE,8,0.026
NATURE REVIEWS NEPHROLOGY,8,0.026
NEPHRON,8,0.026
PEDIATRIC ANNALS,8,0.026
PHARMACOGENOMICS,8,0.026
PHYSIOLOGICAL RESEARCH,8,0.026
QJM AN INTERNATIONAL JOURNAL OF MEDICINE,8,0.026
REVISTA DE INVESTIGACION CLINICA CLINICAL AND TRANSLATIONAL INVESTIGATION,8,0.026
REVISTA DE SAUDE PUBLICA,8,0.026
SEMINARS IN REPRODUCTIVE MEDICINE,8,0.026
SLEEP MEDICINE CLINICS,8,0.026
SPRINGER SERIES ON EPIDEMIOLOGY AND PUBLIC HEALTH,8,0.026
TOPICS IN CLINICAL NUTRITION,8,0.026
WEST INDIAN MEDICAL JOURNAL,8,0.026
WIENER KLINISCHE WOCHENSCHRIFT,8,0.026
AGEING RESEARCH REVIEWS,7,0.023
AGRO FOOD INDUSTRY HI TECH,7,0.023
ALLERGY AND ASTHMA PROCEEDINGS,7,0.023
AMERICAN JOURNAL OF LIFESTYLE MEDICINE,7,0.023
ANNALES DE BIOLOGIE CLINIQUE,7,0.023
ANNALS OF NEUROLOGY,7,0.023
ANNALS OF TRANSLATIONAL MEDICINE,7,0.023
ARCHIVES DES MALADIES DU COEUR ET DES VAISSEAUX,7,0.023
BEHAVIOURAL BRAIN RESEARCH,7,0.023
BEST PRACTICE RESEARCH CLINICAL ENDOCRINOLOGY METABOLISM,7,0.023
BIOACTIVE FOODS IN CHRONIC DISEASE STATES,7,0.023
BIOCHIMICA ET BIOPHYSICA ACTA MOLECULAR AND CELL BIOLOGY OF LIPIDS,7,0.023
BIOMEDICINE PHARMACOTHERAPY,7,0.023
BIOMOLECULES,7,0.023
BMC NEUROLOGY,7,0.023
BMC PEDIATRICS,7,0.023
BODY IMAGE,7,0.023
BRAIN SCIENCES,7,0.023
BREASTFEEDING MEDICINE,7,0.023
BUNDESGESUNDHEITSBLATT GESUNDHEITSFORSCHUNG GESUNDHEITSSCHUTZ,7,0.023
CANADIAN JOURNAL OF APPLIED PHYSIOLOGY REVUE CANADIENNE DE PHYSIOLOGIE APPLIQUEE,7,0.023
CARDIOVASCULAR DRUGS AND THERAPY,7,0.023
CATHETERIZATION AND CARDIOVASCULAR INTERVENTIONS,7,0.023
CHILDREN AND YOUTH SERVICES REVIEW,7,0.023
CIRCULATION ARRHYTHMIA AND ELECTROPHYSIOLOGY,7,0.023
CLEVELAND CLINIC JOURNAL OF MEDICINE,7,0.023
CLINICAL PEDIATRICS,7,0.023
CLINICAL TRANSPLANTATION,7,0.023
COCHRANE DATABASE OF SYSTEMATIC REVIEWS,7,0.023
CONTROLLED CLINICAL TRIALS,7,0.023
CURRENT DRUG TARGETS,7,0.023
CURRENT MEDICAL RESEARCH AND OPINION,7,0.023
CURRENT MOLECULAR MEDICINE,7,0.023
CURRENT OPINION IN ENDOCRINOLOGY DIABETES AND OBESITY,7,0.023
CURRENT OPINION IN PSYCHIATRY,7,0.023
DIABETOLOGIE UND STOFFWECHSEL,7,0.023
DIGESTIVE DISEASES AND SCIENCES,7,0.023
DM DISEASE A MONTH,7,0.023
ENDOCRINE PRACTICE,7,0.023
ERNAHRUNGS UMSCHAU,7,0.023
EUROPEAN JOURNAL OF SPORT SCIENCE,7,0.023
EXPERIMENTAL CLINICAL CARDIOLOGY,7,0.023
FRONTIERS IN GENETICS,7,0.023
FRONTIERS IN NEUROENDOCRINOLOGY,7,0.023
GENETIC TESTING AND MOLECULAR BIOMARKERS,7,0.023
GENETICS AND MOLECULAR RESEARCH,7,0.023
GLOBAL HEART,7,0.023
INDO AMERICAN JOURNAL OF PHARMACEUTICAL SCIENCES,7,0.023
INTERNATIONAL JOURNAL OF CLINICAL AND EXPERIMENTAL PATHOLOGY,7,0.023
INTERNATIONAL JOURNAL OF MEDICAL RESEARCH HEALTH SCIENCES,7,0.023
INTERNATIONAL PSYCHOGERIATRICS,7,0.023
INTERNATIONAL REVIEW OF PSYCHIATRY,7,0.023
IRANIAN JOURNAL OF PUBLIC HEALTH,7,0.023
JOURNAL OF ALTERNATIVE AND COMPLEMENTARY MEDICINE,7,0.023
JOURNAL OF BLACK STUDIES,7,0.023
JOURNAL OF CANCER SURVIVORSHIP,7,0.023
JOURNAL OF CARDIOPULMONARY REHABILITATION AND PREVENTION,7,0.023
JOURNAL OF CLINICAL BIOCHEMISTRY AND NUTRITION,7,0.023
JOURNAL OF CLINICAL DENSITOMETRY,7,0.023
JOURNAL OF COMMUNITY PSYCHOLOGY,7,0.023
JOURNAL OF EVOLUTION OF MEDICAL AND DENTAL SCIENCES JEMDS,7,0.023
JOURNAL OF MEDICAL GENETICS,7,0.023
JOURNAL OF NUCLEAR CARDIOLOGY,7,0.023
JOURNAL OF PAIN,7,0.023
JOURNAL OF PEDIATRIC PSYCHOLOGY,7,0.023
JOURNAL OF PERIODONTOLOGY,7,0.023
JOURNAL OF PERSONALITY,7,0.023
JOURNAL OF RELIGION HEALTH,7,0.023
JOURNAL OF STUDIES ON ALCOHOL,7,0.023
JOURNAL OF TRANSLATIONAL MEDICINE,7,0.023
KOREAN JOURNAL OF INTERNAL MEDICINE,7,0.023
METABOLIC BRAIN DISEASE,7,0.023
MUTATION RESEARCH FUNDAMENTAL AND MOLECULAR MECHANISMS OF MUTAGENESIS,7,0.023
NEPHROLOGIE THERAPEUTIQUE,7,0.023
NUTRITION IN CLINICAL PRACTICE,7,0.023
PEDIATRIC EXERCISE SCIENCE,7,0.023
PHARMACOLOGY BIOCHEMISTRY AND BEHAVIOR,7,0.023
PHYTOTHERAPY RESEARCH,7,0.023
PROCEDIA SOCIAL AND BEHAVIORAL SCIENCES,7,0.023
PROCESSED FOOD ADDITION FOUNDATIONS ASSESSMENT AND RECOVERY,7,0.023
PROSTAGLANDINS LEUKOTRIENES AND ESSENTIAL FATTY ACIDS,7,0.023
PSYCHIATRIC CLINICS OF NORTH AMERICA,7,0.023
PSYCHOLOGY OF MEN MASCULINITY,7,0.023
PSYCHOLOGY OF WOMEN QUARTERLY,7,0.023
REPRODUCTIVE SCIENCES,7,0.023
RESEARCH ON AGING,7,0.023
RESPIRATION,7,0.023
REVISTA BRASILEIRA DE MEDICINA DO ESPORTE,7,0.023
REVISTA DE NUTRICAO BRAZILIAN JOURNAL OF NUTRITION,7,0.023
SAGE OPEN,7,0.023
SCHIZOPHRENIA RESEARCH,7,0.023
SOCIAL INDICATORS RESEARCH,7,0.023
TOXICOLOGY LETTERS,7,0.023
ZEITSCHRIFT FUR KARDIOLOGIE,7,0.023
ACCIDENT ANALYSIS AND PREVENTION,6,0.02
ACTA PHYSIOLOGICA,6,0.02
ADVANCES IN CLINICAL AND EXPERIMENTAL MEDICINE,6,0.02
ADVANCES IN LIFE COURSE RESEARCH,6,0.02
AGE AND AGEING,6,0.02
AIDS CARE PSYCHOLOGICAL AND SOCIO MEDICAL ASPECTS OF AIDS HIV,6,0.02
ALLERGOLOGY INTERNATIONAL,6,0.02
ALZHEIMERS DEMENTIA,6,0.02
AMERICAN FAMILY PHYSICIAN,6,0.02
AMERICAN JOURNAL OF CARDIOVASCULAR DRUGS,6,0.02
AMERICAN JOURNAL OF MANAGED CARE,6,0.02
AMERICAN JOURNAL OF MEDICAL GENETICS PART A,6,0.02
AMERICAN JOURNAL OF MEDICAL GENETICS PART B NEUROPSYCHIATRIC GENETICS,6,0.02
ANDROLOGIA,6,0.02
ANESTHESIA AND ANALGESIA,6,0.02
ANNALS OF NONINVASIVE ELECTROCARDIOLOGY,6,0.02
ANNUAL REVIEW OF SOCIOLOGY,6,0.02
APPLIED NURSING RESEARCH,6,0.02
ARCHIVES OF GERONTOLOGY AND GERIATRICS,6,0.02
ARTHRITIS AND RHEUMATISM,6,0.02
ASIAN PACIFIC JOURNAL OF CANCER PREVENTION,6,0.02
AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY,6,0.02
BEHAVIOR GENETICS,6,0.02
BIOCHEMISTRY,6,0.02
BIOCHIMIE,6,0.02
BMC CANCER,6,0.02
BMC COMPLEMENTARY AND ALTERNATIVE MEDICINE,6,0.02
BMC MEDICAL RESEARCH METHODOLOGY,6,0.02
CALCIFIED TISSUE INTERNATIONAL,6,0.02
CANADIAN JOURNAL OF DIETETIC PRACTICE AND RESEARCH,6,0.02
CARDIORENAL MEDICINE,6,0.02
CHEMICAL RESEARCH IN TOXICOLOGY,6,0.02
CHILD DEVELOPMENT,6,0.02
CIRCULATION GENOMIC AND PRECISION MEDICINE,6,0.02
CLINICAL AND APPLIED THROMBOSIS HEMOSTASIS,6,0.02
CLINICAL HYPERTENSION AND VASCULAR DISEASES,6,0.02
CLINICAL KIDNEY JOURNAL,6,0.02
CLINICAL OBSTETRICS AND GYNECOLOGY,6,0.02
CNS NEUROLOGICAL DISORDERS DRUG TARGETS,6,0.02
CONGENITAL HEART DISEASE,6,0.02
CONTEMPORARY DIABETES,6,0.02
CROATIAN MEDICAL JOURNAL,6,0.02
CUREUS,6,0.02
CURRENT CLINICAL PRACTICE,6,0.02
CURRENT OPINION IN ALLERGY AND CLINICAL IMMUNOLOGY,6,0.02
CURRENT OPINION IN PEDIATRICS,6,0.02
CURRENT OPINION IN PULMONARY MEDICINE,6,0.02
CURRENT PROBLEMS IN CARDIOLOGY,6,0.02
DIABETES EDUCATOR,6,0.02
DIGESTIVE AND LIVER DISEASE,6,0.02
DISABILITY AND HEALTH JOURNAL,6,0.02
DNA AND CELL BIOLOGY,6,0.02
ENDOCRINOLOGY,6,0.02
ENERGY BALANCE AND CANCER,6,0.02
ENVIRONMENTAL TOXICOLOGY AND PHARMACOLOGY,6,0.02
EUROPACE,6,0.02
EUROPEAN HEART JOURNAL SUPPLEMENTS,6,0.02
EUROPEAN JOURNAL OF NEUROLOGY,6,0.02
EUROPEAN JOURNAL OF PHARMACOLOGY,6,0.02
EUROPEAN PSYCHIATRY,6,0.02
EXPERIMENTAL BIOLOGY AND MEDICINE,6,0.02
EXPERT OPINION ON PHARMACOTHERAPY,6,0.02
EXPERT REVIEW OF ENDOCRINOLOGY METABOLISM,6,0.02
EXPERT REVIEW OF RESPIRATORY MEDICINE,6,0.02
FAMILY COMMUNITY HEALTH,6,0.02
FOOD AND CHEMICAL TOXICOLOGY,6,0.02
FRONTIERS IN CARDIOVASCULAR MEDICINE,6,0.02
FRONTIERS IN IMMUNOLOGY,6,0.02
FUTURE LIPIDOLOGY,6,0.02
GROWTH HORMONE IGF RESEARCH,6,0.02
HANDBOOK OF BEHAVIORAL MEDICINE METHODS AND APPLICATIONS,6,0.02
HEALTH BEHAVIOR AND POLICY REVIEW,6,0.02
HEALTH COMMUNICATION,6,0.02
HEALTH PROMOTION AND CHRONIC DISEASE PREVENTION IN CANADA RESEARCH POLICY AND PRACTICE,6,0.02
HIV MEDICINE,6,0.02
HYPERTENSION IN PREGNANCY,6,0.02
IN VIVO,6,0.02
INDUSTRIAL HEALTH,6,0.02
INTERNAL AND EMERGENCY MEDICINE,6,0.02
INTERNAL MEDICINE JOURNAL,6,0.02
INTERNATIONAL JOURNAL OF CLINICAL LABORATORY RESEARCH,6,0.02
INTERNATIONAL JOURNAL OF DRUG POLICY,6,0.02
INTERNATIONAL JOURNAL OF HYPERTENSION,6,0.02
INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE,6,0.02
INTERNATIONAL JOURNAL OF RHEUMATIC DISEASES,6,0.02
JOURNAL OF ANXIETY DISORDERS,6,0.02
JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,6,0.02
JOURNAL OF CARDIOVASCULAR MEDICINE,6,0.02
JOURNAL OF CARDIOVASCULAR RISK,6,0.02
JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM,6,0.02
JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,6,0.02
JOURNAL OF CLINICAL LABORATORY ANALYSIS,6,0.02
JOURNAL OF CLINICAL PATHOLOGY,6,0.02
JOURNAL OF CLINICAL PERIODONTOLOGY,6,0.02
JOURNAL OF ELECTROCARDIOLOGY,6,0.02
JOURNAL OF LABORATORY AND CLINICAL MEDICINE,6,0.02
JOURNAL OF MULTICULTURAL COUNSELING AND DEVELOPMENT,6,0.02
JOURNAL OF NERVOUS AND MENTAL DISEASE,6,0.02
JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,6,0.02
JOURNAL OF PHYSIOLOGICAL ANTHROPOLOGY,6,0.02
JOURNAL OF PHYSIOLOGY LONDON,6,0.02
JOURNAL OF PSYCHOPHARMACOLOGY,6,0.02
JOURNAL OF PSYCHOPHYSIOLOGY,6,0.02
JOURNAL OF SCIENCE AND MEDICINE IN SPORT,6,0.02
JOURNAL OF SPORTS SCIENCE AND MEDICINE,6,0.02
JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY,6,0.02
JOURNAL OF THE AMERICAN ACADEMY OF NURSE PRACTITIONERS,6,0.02
JOURNAL OF THE CHINESE MEDICAL ASSOCIATION,6,0.02
JOURNAL OF THE FORMOSAN MEDICAL ASSOCIATION,6,0.02
JOURNAL OF THE NATIONAL CANCER INSTITUTE,6,0.02
JOURNAL OF THORACIC DISEASE,6,0.02
JOURNAL OF THROMBOSIS AND THROMBOLYSIS,6,0.02
JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY,6,0.02
JOURNAL OF VETERINARY INTERNAL MEDICINE,6,0.02
KOREAN CIRCULATION JOURNAL,6,0.02
LIFESTYLE MEDICINE 2ND EDITION,6,0.02
MEDICINA DELLO SPORT,6,0.02
MINERVA ENDOCRINOLOGICA,6,0.02
MOLECULAR NUTRITION,6,0.02
NEPHROLOGY,6,0.02
NEUROEPIDEMIOLOGY,6,0.02
NEUROIMAGE CLINICAL,6,0.02
NURSING CLINICS OF NORTH AMERICA,6,0.02
NUTRITION IN THE PREVENTION AND TREATMENT OF ABDOMINAL OBESITY,6,0.02
PEDIATRIC HYPERTENSION SECOND EDITION,6,0.02
PERSPECTIVES ON PSYCHOLOGICAL SCIENCE,6,0.02
PHARMACOLOGICAL RESEARCH,6,0.02
PREVENTION SCIENCE,6,0.02
PROGRESS IN MOLECULAR BIOLOGY AND TRANSLATIONAL SCIENCE,6,0.02
PROSTAGLANDINS OTHER LIPID MEDIATORS,6,0.02
PSYCHO ONCOLOGY,6,0.02
REVISTA BRASILEIRA DE PSIQUIATRIA,6,0.02
REVISTA LATINOAMERICANA DE HIPERTENSION,6,0.02
REVISTA PANAMERICANA DE SALUD PUBLICA PAN AMERICAN JOURNAL OF PUBLIC HEALTH,6,0.02
