Organizations_Enhanced,records,percent_of_total
UNIVERSITY OF LEIPZIG,41,0.136
UNIVERSITY OF ZARAGOZA,41,0.136
AJOU UNIVERSITY,40,0.132
CHINA MEDICAL UNIVERSITY,40,0.132
CHINA MEDICAL UNIVERSITY TAIWAN,40,0.132
MEDICAL UNIVERSITY OF INNSBRUCK,40,0.132
NATIONAL DEFENSE MEDICAL CENTER,40,0.132
POMPEU FABRA UNIVERSITY,40,0.132
UNIVERSITY OF LIVERPOOL,40,0.132
DEUTSCHES DIABETES ZENTRUM DDZ,39,0.129
HAUKELAND UNIVERSITY HOSPITAL,39,0.129
THE METHODIST HOSPITAL HOUSTON,39,0.129
THE METHODIST HOSPITAL SYSTEM,39,0.129
UNIVERSITY OF JYVASKYLA,39,0.129
UNIVERSITY OF MISSOURI KANSAS CITY,39,0.129
XI AN JIAOTONG UNIVERSITY,39,0.129
ZHENGZHOU UNIVERSITY,39,0.129
CHINESE CENTER FOR DISEASE CONTROL PREVENTION,38,0.126
NATIONAL CHENG KUNG UNIVERSITY,38,0.126
NORWEGIAN INSTITUTE OF PUBLIC HEALTH NIPH,38,0.126
ROYAL CHILDREN S HOSPITAL MELBOURNE,38,0.126
SYRACUSE UNIVERSITY,38,0.126
TOHOKU UNIVERSITY,38,0.126
UNIVERSIDADE ESTADUAL DE CAMPINAS,38,0.126
UNIVERSITY OF ABERDEEN,38,0.126
UNIVERSITY OF ICELAND,38,0.126
UNIVERSITY OF NEBRASKA MEDICAL CENTER,38,0.126
BAYLOR UNIVERSITY,37,0.122
CHARLES UNIVERSITY PRAGUE,37,0.122
GHENT UNIVERSITY HOSPITAL,37,0.122
INSTITUT D INVESTIGACIO SANITARIA PERE VIRGILI IISPV,37,0.122
LE RESEAU INTERNATIONAL DES INSTITUTS PASTEUR RIIP,37,0.122
SOUTHERN MEDICAL UNIVERSITY CHINA,37,0.122
STELLENBOSCH UNIVERSITY,37,0.122
SUZHOU UNIVERSITY,37,0.122
UNIVERSITY OF REGENSBURG,37,0.122
UNIVERSITY OF WATERLOO,37,0.122
VRIJE UNIVERSITEIT BRUSSEL,37,0.122
LOMA LINDA UNIVERSITY,36,0.119
MEDICAL UNIVERSITY LODZ,36,0.119
MINIST HLTH,36,0.119
NIH NATIONAL INSTITUTE ON ALCOHOL ABUSE ALCOHOLISM NIAAA,36,0.119
SEMMELWEIS UNIVERSITY,36,0.119
UNIVERSITE DE BORDEAUX,36,0.119
UNIVERSITY OF CATANIA,36,0.119
UNIVERSITY OF CRETE,36,0.119
UNIVERSITY OF DUISBURG ESSEN,36,0.119
UNIVERSITY OF LIEGE,36,0.119
UNIVERSITY OF SASKATCHEWAN,36,0.119
UNIVERSITY OF TSUKUBA,36,0.119
CARDIFF UNIVERSITY,35,0.116
CATALAN HEALTH INSTITUTE,35,0.116
CENTRE FOR ADDICTION MENTAL HEALTH CANADA,35,0.116
CHINESE PEOPLE S LIBERATION ARMY GENERAL HOSPITAL,35,0.116
COMMUNAUTE UNIVERSITE GRENOBLE ALPES,35,0.116
EWHA WOMANS UNIVERSITY,35,0.116
LINKOPING UNIVERSITY,35,0.116
MEDSTAR HEALTH RESEARCH INSTITUTE,35,0.116
NAGOYA UNIVERSITY,35,0.116
UNIVERSIDADE DE LISBOA,35,0.116
UNIVERSITA DELLA CAMPANIA VANVITELLI,35,0.116
UNIVERSITE GRENOBLE ALPES UGA,35,0.116
UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,35,0.116
UNIVERSITY OF FREIBURG,35,0.116
UNIVERSITY OF NORTH CAROLINA GREENSBORO,35,0.116
UNIVERSITY OF WISCONSIN MILWAUKEE,35,0.116
CENTRO NACIONAL DE INVESTIGACIONES CARDIOVASCULARES CNIC,34,0.112
CHU LILLE,34,0.112
GEORGE INSTITUTE FOR GLOBAL HEALTH,34,0.112
LI KA SHING KNOWLEDGE INSTITUTE,34,0.112
MAGEE WOMENS RESEARCH INSTITUTE,34,0.112
SINAI HEALTH SYSTEM TORONTO,34,0.112
UNIVERSIDAD DE CHILE,34,0.112
UNIVERSITA DI MODENA E REGGIO EMILIA,34,0.112
UNIVERSITE PARIS 13,34,0.112
UNIVERSITY OF SURREY,34,0.112
UNIVERSITY OF WURZBURG,34,0.112
UNIVERSITY OF ZAGREB,34,0.112
AIX MARSEILLE UNIVERSITE,33,0.109
CAIRO UNIVERSITY,33,0.109
DALHOUSIE UNIVERSITY,33,0.109
EBERHARD KARLS UNIVERSITY OF TUBINGEN,33,0.109
ISTANBUL UNIVERSITY,33,0.109
KAOHSIUNG MEDICAL UNIVERSITY,33,0.109
MAHIDOL UNIVERSITY,33,0.109
OREGON STATE UNIVERSITY,33,0.109
ROCKEFELLER UNIVERSITY,33,0.109
SOONCHUNHYANG UNIVERSITY,33,0.109
TORONTO GENERAL HOSPITAL,33,0.109
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,33,0.109
UNIVERSITY OF BELGRADE,33,0.109
UNIVERSITY OF IOANNINA,33,0.109
AMER HEART ASSOC,32,0.106
AMERICAN CANCER SOCIETY,32,0.106
BEN GURION UNIVERSITY,32,0.106
COOPER INSTITUTE,32,0.106
GRIFFITH UNIVERSITY,32,0.106
MAX PLANCK SOCIETY,32,0.106
NANJING MEDICAL UNIVERSITY,32,0.106
UNIVERSITY OF GENOA,32,0.106
UNIVERSITY OF NEBRASKA LINCOLN,32,0.106
UNIVERSITY OF NOTTINGHAM,32,0.106
UNIVERSITY OF OREGON,32,0.106
UNIVERSITY OF PAVIA,32,0.106
UNIVERSITY OF SHERBROOKE,32,0.106
WESTERN PSYCHIATRIC INSTITUTE CLINIC OF UPMC,32,0.106
ASTRAZENECA,31,0.102
AUSTRALIAN NATIONAL UNIVERSITY,31,0.102
CHU GRENOBLE ALPES,31,0.102
FLINDERS UNIVERSITY SOUTH AUSTRALIA,31,0.102
GROUP HEALTH COOPERATIVE,31,0.102
HANYANG UNIVERSITY,31,0.102
INSTITUT PASTEUR LILLE,31,0.102
KING SAUD UNIVERSITY,31,0.102
MEDICAL UNIVERSITY OF GRAZ,31,0.102
MICHIGAN STATE UNIVERSITY COLLEGE OF HUMAN MEDICINE,31,0.102
OREBRO UNIVERSITY,31,0.102
RUSSIAN ACADEMY OF SCIENCES,31,0.102
TRINITY COLLEGE DUBLIN,31,0.102
UNIVERSITE DE MONTPELLIER,31,0.102
UNIVERSITY OF HAWAII MANOA,31,0.102
UNIVERSITY OF MUNSTER,31,0.102
UNIVERSITY OF MURCIA,31,0.102
DANISH CANCER SOCIETY,30,0.099
G D ANNUNZIO UNIVERSITY OF CHIETI PESCARA,30,0.099
HUNTER MEDICAL RESEARCH INSTITUTE,30,0.099
INJE UNIVERSITY,30,0.099
KING ABDULAZIZ UNIVERSITY,30,0.099
NIH CLINICAL CENTER CC,30,0.099
TRI SERVICE GENERAL HOSPITAL,30,0.099
UNIVERSITE DE TOULOUSE,30,0.099
UNIVERSITY OF ANTWERP,30,0.099
UNIVERSITY OF MASSACHUSETTS BOSTON,30,0.099
UNIVERSITY OF NORTH TEXAS DENTON,30,0.099
UNIVERSITY OF SHEFFIELD,30,0.099
WUHAN UNIVERSITY,30,0.099
ASAN MEDICAL CENTER,29,0.096
AZIENDA OSPEDALIERO UNIVERSITARIA CAREGGI,29,0.096
CASE WESTERN RESERVE UNIVERSITY HOSPITAL,29,0.096
CHANG GUNG MEMORIAL HOSPITAL,29,0.096
CIBERDEM,29,0.096
HESAM UNIVERSITE,29,0.096
HIPPOKRATION GENERAL HOSPITAL,29,0.096
MCLEAN HOSPITAL,29,0.096
MEDICAL UNIVERSITY OF WARSAW,29,0.096
MEMORIAL SLOAN KETTERING CANCER CENTER,29,0.096
NEW YORK ACADEMY OF MEDICINE,29,0.096
NORTH CHINA UNIVERSITY OF SCIENCE TECHNOLOGY,29,0.096
PRINCE OF WALES HOSPITAL,29,0.096
STENO DIABETES CENTER,29,0.096
TAIPEI VETERANS GENERAL HOSPITAL,29,0.096
UNIVERSITE LIBRE DE BRUXELLES,29,0.096
UNIVERSITY HOSPITALS OF CLEVELAND,29,0.096
UNIVERSITY OF BUENOS AIRES,29,0.096
UNIVERSITY OF ESSEX,29,0.096
BEAUMONT HEALTH,28,0.093
CALIFORNIA PACIFIC MEDICAL CENTER,28,0.093
CHU LYON,28,0.093
CONSERVATOIRE NATIONAL ARTS METIERS CNAM,28,0.093
DURHAM VA MEDICAL CENTER,28,0.093
KEIO UNIVERSITY,28,0.093
LA TROBE UNIVERSITY,28,0.093
MEMPHIS VA MEDICAL CENTER,28,0.093
MINNEAPOLIS VA HEALTH CARE SYSTEM,28,0.093
MRC,28,0.093
MRC HUMAN NUTRITION RESEARCH,28,0.093
NATIONAL JEWISH HEALTH,28,0.093
QUEENSLAND UNIVERSITY OF TECHNOLOGY QUT,28,0.093
TABRIZ UNIVERSITY OF MEDICAL SCIENCE,28,0.093
UNIVERSIDAD DE MALAGA,28,0.093
UNIVERSIDADE ESTADUAL PAULISTA,28,0.093
UNIVERSITY OF MAINE SYSTEM,28,0.093
UNIVERSITY OF MARYLAND BALTIMORE COUNTY,28,0.093
UNIVERSITY OF RHODE ISLAND,28,0.093
YORK UNIVERSITY CANADA,28,0.093
ACADEMIA SINICA TAIWAN,27,0.089
ALL INDIA INSTITUTE OF MEDICAL SCIENCES AIIMS NEW DELHI,27,0.089
CHINA MEDICAL UNIVERSITY HOSPITAL TAIWAN,27,0.089
CIBERES,27,0.089
FOLKHALSAN RESEARCH CENTER,27,0.089
GACHON UNIVERSITY,27,0.089
INSTITUTO MEXICANO DEL SEGURO SOCIAL,27,0.089
METROHEALTH SYSTEM,27,0.089
MRC CSO SOCIAL AND PUBLIC HEALTH SCIENCES UNIT,27,0.089
NEVADA SYSTEM OF HIGHER EDUCATION NSHE,27,0.089
PONTIFICIA UNIVERSIDAD CATOLICA DE CHILE,27,0.089
POPULATION HEALTH RESEARCH INSTITUTE,27,0.089
ROBERT WOOD JOHNSON FOUNDATION RWJF,27,0.089
UNITED STATES ARMY,27,0.089
UNIVERSIDAD DE LAS PALMAS DE GRAN CANARIA,27,0.089
UNIVERSITE CLAUDE BERNARD LYON 1,27,0.089
UNIVERSITY OF INNSBRUCK,27,0.089
UNIVERSITY OF OTTAWA HEART INSTITUTE,27,0.089
UNIVERSITY OF PARMA,27,0.089
ATLANTA VA HEALTH CARE SYSTEM,26,0.086
CALIFORNIA PACIFIC MEDICAL CENTER RESEARCH INSTITUTE,26,0.086
CHANG GUNG UNIVERSITY,26,0.086
CONCORDIA UNIVERSITY CANADA,26,0.086
FONDAZIONE IRCCS ISTITUTO NAZIONALE TUMORI MILAN,26,0.086
HACETTEPE UNIVERSITY,26,0.086
HARBIN MEDICAL UNIVERSITY,26,0.086
IRCCS FONDAZIONE SAN MATTEO,26,0.086
LUNENFELD TANENBAUM RESEARCH INSTITUTE,26,0.086
MEDSTAR RES INST,26,0.086
MEHARRY MEDICAL COLLEGE,26,0.086
NEW YORK MEDICAL COLLEGE,26,0.086
OTTAWA HOSPITAL RESEARCH INSTITUTE,26,0.086
SOUTH AFRICAN MEDICAL RESEARCH COUNCIL,26,0.086
TEXAS A M HEALTH SCIENCE CENTER,26,0.086
UCLA JONSSON COMPREHENSIVE CANCER CENTER,26,0.086
UNIVERSITY OF ERLANGEN NUREMBERG,26,0.086
UNIVERSITY OF MAINE ORONO,26,0.086
UNIVERSITY OF VIENNA,26,0.086
WAKE FOREST UNIVERSITY SCHOOL OF MEDICINE,26,0.086
AUSTRALIAN CATHOLIC UNIVERSITY,25,0.083
BRIGHAM YOUNG UNIVERSITY,25,0.083
CHILDREN S NATIONAL HEALTH SYSTEM,25,0.083
CHONNAM NATIONAL UNIVERSITY,25,0.083
H LEE MOFFITT CANCER CENTER RESEARCH INSTITUTE,25,0.083
HANNOVER MEDICAL SCHOOL,25,0.083
HEALTHCORE INC,25,0.083
HOSP CLIN PORTO ALEGRE,25,0.083
KENT STATE UNIVERSITY,25,0.083
LOUGHBOROUGH UNIVERSITY,25,0.083
METHODIST DEBAKEY HEART VASCULAR CENTER,25,0.083
NATIONAL HEALTH RESEARCH INSTITUTES TAIWAN,25,0.083
NETHERLANDS ORGANIZATION APPLIED SCIENCE RESEARCH,25,0.083
QINGDAO UNIVERSITY,25,0.083
SOUTHERN ILLINOIS UNIVERSITY SYSTEM,25,0.083
ST PAUL S HOSPITAL,25,0.083
TEIKYO UNIVERSITY,25,0.083
TEXAS TECH UNIVERSITY HEALTH SCIENCE CENTER,25,0.083
UNIVERSIDADE FEDERAL DE PELOTAS,25,0.083
UNIVERSITY COLLEGE CORK,25,0.083
UNIVERSITY HOSPITAL LEUVEN,25,0.083
UNIVERSITY OF EXETER,25,0.083
UNIVERSITY OF QUEBEC,25,0.083
UPPSALA UNIVERSITY HOSPITAL,25,0.083
VA PITTSBURGH HEALTHCARE SYSTEM,25,0.083
WESTERN SYDNEY UNIVERSITY,25,0.083
CANCER COUNCIL VICTORIA,24,0.079
CENTENARY INSTITUTE,24,0.079
ERNST MORITZ ARNDT UNIVERSITAT GREIFSWALD,24,0.079
HOKKAIDO UNIVERSITY,24,0.079
HUNTER COLLEGE CUNY,24,0.079
LOUISIANA STATE UNIVERSITY HEALTH SCIENCES CENTER NEW ORLEANS,24,0.079
NATIONAL HOSPITAL NORWAY,24,0.079
NYU LANGONE MEDICAL CENTER,24,0.079
SHANDONG FIRST MEDICAL UNIVERSITY SHANDONG ACADEMY OF MEDICAL SCIENCES,24,0.079
UNICANCER,24,0.079
UNIVERSITE TOULOUSE III PAUL SABATIER,24,0.079
UNIVERSITI MALAYA,24,0.079
UNIVERSITY OF KIEL,24,0.079
VA GREATER LOS ANGELES HEALTHCARE SYSTEM,24,0.079
CHU BORDEAUX,23,0.076
CREIGHTON UNIVERSITY,23,0.076
GOETHE UNIVERSITY FRANKFURT,23,0.076
GUANGXI MEDICAL UNIVERSITY,23,0.076
GUSTAVE ROUSSY,23,0.076
HOPITAL UNIVERSITAIRE AVICENNE APHP,23,0.076
HOSPITAL UNIVERSITARI VALL D HEBRON,23,0.076
HOSPITAL UNIVERSITARIO RAMON Y CAJAL,23,0.076
MASHHAD UNIVERSITY MEDICAL SCIENCE,23,0.076
NATIONAL CEREBRAL CARDIOVASCULAR CENTER JAPAN,23,0.076
NATIONAL UNIVERSITY OF IRELAND NUI GALWAY,23,0.076
NORTH CAROLINA STATE UNIVERSITY,23,0.076
NORWEGIAN SCHOOL OF SPORT SCIENCES,23,0.076
OKAYAMA UNIVERSITY,23,0.076
PUBLIC HEALTH INSTITUTE,23,0.076
ROYAL MELBOURNE HOSPITAL,23,0.076
TECHNION ISRAEL INSTITUTE OF TECHNOLOGY,23,0.076
TONGJI UNIVERSITY,23,0.076
ULSTER UNIVERSITY,23,0.076
UNIVERSIDADE FEDERAL DE SANTA CATARINA UFSC,23,0.076
UNIVERSITY OF READING,23,0.076
US FOOD DRUG ADMINISTRATION FDA,23,0.076
A O U CITTA DELLA SALUTE E DELLA SCIENZA DI TORINO,22,0.073
AALBORG UNIVERSITY,22,0.073
CHUNG HO MEMORIAL HOSPITAL,22,0.073
COLUMBIA UNIVERSITY TEACHERS COLLEGE,22,0.073
COMMONWEALTH SCIENTIFIC INDUSTRIAL RESEARCH ORGANISATION CSIRO,22,0.073
DEPT VET AFFAIRS MED CTR,22,0.073
ESCUELA ANDALUZA DE SALUD PUBLICA,22,0.073
FRIEDRICH SCHILLER UNIVERSITY OF JENA,22,0.073
GEORGE MASON UNIVERSITY,22,0.073
JOHN H STROGER JUNIOR HOSPITAL COOK COUNTY,22,0.073
KANAZAWA UNIVERSITY,22,0.073
MACQUARIE UNIVERSITY,22,0.073
MEDICAL UNIVERSITY SILESIA,22,0.073
PHILIPPS UNIVERSITY MARBURG,22,0.073
SAINT JOHN S UNIVERSITY,22,0.073
SIMON FRASER UNIVERSITY,22,0.073
UNIVERSIDADE FEDERAL DO ESPIRITO SANTO,22,0.073
UNIVERSITA DEGLI STUDI DI BARI ALDO MORO,22,0.073
UNIVERSITAT DE LES ILLES BALEARS,22,0.073
UNIVERSITE CATHOLIQUE LOUVAIN,22,0.073
UNIVERSITE DE STRASBOURG,22,0.073
UNIVERSITES DE STRASBOURG ETABLISSEMENTS ASSOCIES,22,0.073
UNIVERSITY OF CALIFORNIA SANTA BARBARA,22,0.073
UNIVERSITY OF TARTU,22,0.073
VAASA CENTRAL HOSPITAL,22,0.073
ASSISTANCE PUBLIQUE HOPITAUX DE MARSEILLE,21,0.069
CHUNGNAM NATIONAL UNIVERSITY,21,0.069
CIBERCV,21,0.069
COUNCIL OF SCIENTIFIC INDUSTRIAL RESEARCH CSIR INDIA,21,0.069
ISTANBUL UNIVERSITY CERRAHPASA,21,0.069
ISTITUTO SUPERIORE DI SANITA ISS,21,0.069
JUNTENDO UNIVERSITY,21,0.069
MASSEY UNIVERSITY,21,0.069
ROBERT H LURIE COMPREHENSIVE CANCER CENTER,21,0.069
SAINT LUKE S MID AMERICA HEART INSTITUTE,21,0.069
SEATTLE CHILDREN S HOSPITAL,21,0.069
SINGAPORE NATIONAL EYE CENTER,21,0.069
ST VINCENTS HOSPITAL SYDNEY,21,0.069
TAICHUNG VETERANS GENERAL HOSPITAL,21,0.069
TAIPEI MEDICAL UNIVERSITY HOSPITAL,21,0.069
UNITED STATES DEPARTMENT OF ENERGY DOE,21,0.069
UNIVERSIDAD DE ALCALA,21,0.069
UNIVERSIDAD DE CASTILLA LA MANCHA,21,0.069
UNIVERSIDAD DE CORDOBA,21,0.069
UNIVERSIDADE FEDERAL DA BAHIA,21,0.069
UNIVERSITY OF HAIFA,21,0.069
UNIVERSITY OF THE WEST INDIES,21,0.069
VA PALO ALTO HEALTH CARE SYSTEM,21,0.069
WELLCOME CENTRE FOR HUMAN GENETICS,21,0.069
ARMY MEDICAL UNIVERSITY,20,0.066
CANCER PREVENTION INSTITUTE OF CALIFORNIA,20,0.066
CATALAN INSTITUTE OF ONCOLOGY,20,0.066
CHONGQING MEDICAL UNIVERSITY,20,0.066
CHU DE TOULOUSE,20,0.066
CHUNG ANG UNIVERSITY,20,0.066
DONGGUK UNIVERSITY,20,0.066
EBERHARD KARLS UNIVERSITY HOSPITAL,20,0.066
HOPITAL UNIVERSITAIRE AMBROISE PARE APHP,20,0.066
JUSTUS LIEBIG UNIVERSITY GIESSEN,20,0.066
NATIONAL HEART CENTRE SINGAPORE,20,0.066
NATIONAL INSTITUTE OF CARDIOLOGY MEXICO,20,0.066
NIHON UNIVERSITY,20,0.066
RHODE ISLAND HOSPITAL,20,0.066
RICE UNIVERSITY,20,0.066
ROBERT KOCH INSTITUTE,20,0.066
SCRIPPS RESEARCH INSTITUTE,20,0.066
SHIRAZ UNIVERSITY OF MEDICAL SCIENCE,20,0.066
ST VINCENT S HOSPITAL MELBOURNE,20,0.066
UNITED STATES NAVY,20,0.066
UNIV TAMPERE,20,0.066
UNIVERSITA DELLA SVIZZERA ITALIANA,20,0.066
UNIVERSITY OF IBADAN,20,0.066
UNIVERSITY OF PERUGIA,20,0.066
UNIVERSITY OF PUERTO RICO,20,0.066
WROCLAW MEDICAL UNIVERSITY,20,0.066
BASKENT UNIVERSITY,19,0.063
BRANDEIS UNIVERSITY,19,0.063
CENTRAL QUEENSLAND UNIVERSITY,19,0.063
HARBORVIEW MEDICAL CENTER,19,0.063
HOSPITAL UNIVERSITARIO 12 DE OCTUBRE,19,0.063
HOSPITAL UNIVERSITARIO SON ESPASES,19,0.063
INSTITUT D INVESTIGACIO BIOMEDICA DE BELLVITGE IDIBELL,19,0.063
IRAN UNIVERSITY OF MEDICAL SCIENCES,19,0.063
IRCCS MULTIMEDICA,19,0.063
JOHANNES GUTENBERG UNIVERSITY OF MAINZ,19,0.063
JOSLIN DIABETES CENTER INC,19,0.063
KANAZAWA MEDICAL UNIVERSITY,19,0.063
KING S COLLEGE HOSPITAL NHS FOUNDATION TRUST,19,0.063
LUXEMBOURG INSTITUTE OF HEALTH,19,0.063
MASSACHUSETTS DEPARTMENT OF PUBLIC HEALTH,19,0.063
NIH NATIONAL INSTITUTE ON MINORITY HEALTH HEALTH DISPARITIES NIMHD,19,0.063
ROSWELL PARK CANCER INSTITUTE,19,0.063
ROYAL BRISBANE WOMEN S HOSPITAL,19,0.063
RUHR UNIVERSITY BOCHUM,19,0.063
RWTH AACHEN UNIVERSITY,19,0.063
SOCIAL SCIENTIFIC SYSTEMS,19,0.063
UNITED STATES ENVIRONMENTAL PROTECTION AGENCY,19,0.063
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,19,0.063
UNIVERSIDADE FEDERAL FLUMINENSE,19,0.063
UNIVERSITI PUTRA MALAYSIA,19,0.063
UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,19,0.063
UNIVERSITY OF CENTRAL FLORIDA,19,0.063
UNIVERSITY OF CHINESE ACADEMY OF SCIENCES CAS,19,0.063
UNIVERSITY OF COLOGNE,19,0.063
UNIVERSITY OF GRAZ,19,0.063
UNIVERSITY OF LIMERICK,19,0.063
UNIVERSITY OF ROME TOR VERGATA,19,0.063
UNIVERSITY OF TOYAMA,19,0.063
VA CONNECTICUT HEALTHCARE SYSTEM,19,0.063
VITA SALUTE SAN RAFFAELE UNIVERSITY,19,0.063
WITTEN HERDECKE UNIVERSITY,19,0.063
AMERICAN HEALTH FOUNDATION,18,0.06
ANHUI MEDICAL UNIVERSITY,18,0.06
CHIBA UNIVERSITY,18,0.06
CHILDREN S MERCY HOSPITAL,18,0.06
CHU RENNES,18,0.06
CIVILE M P AREZZO HOSPITAL,18,0.06
EAST TENNESSEE STATE UNIVERSITY,18,0.06
EULJI UNIVERSITY,18,0.06
FU JEN CATHOLIC UNIVERSITY,18,0.06
FUKUOKA UNIVERSITY,18,0.06
HOPITAL UNIVERSITAIRE LARIBOISIERE FERNAND WIDAL APHP,18,0.06
HOSPITAL CLINICO SAN CARLOS,18,0.06
HOSPITAL CLINICO UNIVERSITARIO VIRGEN DE LA ARRIXACA,18,0.06
HOSPITAL UNIVERSITARIO LA PAZ,18,0.06
INSTITUT NATIONAL DE SANTE PUBLIQUE DU QUEBEC INSPQ,18,0.06
INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE LYON INSA LYON,18,0.06
JAMES COOK UNIVERSITY,18,0.06
KAGOSHIMA UNIVERSITY,18,0.06
KYOTO PREFECTURAL UNIVERSITY OF MEDICINE,18,0.06
NATIONAL CANCER CENTER KOREA NCC,18,0.06
NATIONAL CENTER FOR GLOBAL HEALTH MEDICINE JAPAN,18,0.06
ORYGEN THE NATIONAL CENTRE OF EXCELLENCE IN YOUTH MENTAL HEALTH,18,0.06
PEKING UNION MEDICAL COLLEGE HOSPITAL,18,0.06
PUBLIC HEALTH FOUNDATION OF INDIA,18,0.06
PUBLIC HEALTH INSTITUTE OF NAVARRA,18,0.06
ROBINSON RESEARCH INSTITUTE,18,0.06
SERVICIO NAVARRO DE SALUD OSASUNBIDEA,18,0.06
SOUTHERN ILLINOIS UNIVERSITY,18,0.06
ST JUDE CHILDREN S RESEARCH HOSPITAL,18,0.06
TECHNICAL UNIVERSITY OF DENMARK,18,0.06
TOKUSHIMA UNIVERSITY,18,0.06
UNIVERSIDAD DE LA FRONTERA,18,0.06
UNIVERSIDADE DE COIMBRA,18,0.06
UNIVERSIDADE ESTADUAL DE LONDRINA,18,0.06
UNIVERSIDADE NOVA DE LISBOA,18,0.06
UNIVERSITE DE LORRAINE,18,0.06
UNIVERSITY HOSPITAL OF NORTH NORWAY,18,0.06
UNIVERSITY OF ARKANSAS FAYETTEVILLE,18,0.06
UNIVERSITY OF BRIGHTON,18,0.06
UNIVERSITY OF PECS,18,0.06
UNIVERSITY OF SEOUL,18,0.06
UNIVERSITY OF SUSSEX,18,0.06
UNIVERSITY OF YORK UK,18,0.06
WALTER REED NATIONAL MILITARY MEDICAL CENTER,18,0.06
YEUNGNAM UNIVERSITY,18,0.06
ALBERTA HEALTH SERVICES AHS,17,0.056
AMERICAN UNIVERSITY OF BEIRUT,17,0.056
BAKER HEART DIABET INST,17,0.056
CHILDREN S HOSPITAL OAKLAND RESEARCH INSTITUTE,17,0.056
ELI LILLY,17,0.056
ETH ZURICH,17,0.056
GENERAL UNIVERSITY GREGORIO MARANON HOSPITAL,17,0.056
GERMAN HEART CENTRE MUNICH,17,0.056
HARRY S TRUMAN MEMORIAL VETERANS HOSPITAL,17,0.056
HARTFORD HOSPITAL,17,0.056
HEALTH CANADA,17,0.056
HUNTSMAN CANCER INSTITUTE,17,0.056
IRCCS NEUROMED,17,0.056
JESSE BROWN VA MEDICAL CENTER,17,0.056
KWAME NKRUMAH UNIVERSITY SCIENCE TECHNOLOGY,17,0.056
MEDSTAR WASHINGTON HOSPITAL CENTER,17,0.056
MINIST EDUC,17,0.056
MURCIA REGIONAL HEALTH COUNCIL,17,0.056
NEW YORK CITY DEPARTMENT OF HEALTH MENTAL HYGIENE,17,0.056
NIH NATIONAL INSTITUTE OF MENTAL HEALTH NIMH,17,0.056
NORTHSHORE UNIVERSITY HEALTH SYSTEM,17,0.056
OSAKA CITY UNIVERSITY,17,0.056
POLISH ACADEMY OF SCIENCES,17,0.056
PORTLAND STATE UNIVERSITY,17,0.056
PRINCETON UNIVERSITY,17,0.056
PUBL HLTH ONTARIO,17,0.056
ROYAL INFIRMARY OF EDINBURGH,17,0.056
SHENZHEN UNIVERSITY,17,0.056
SOUTH DAKOTA STATE UNIVERSITY,17,0.056
SWINBURNE UNIVERSITY OF TECHNOLOGY,17,0.056
UNIVERSITY OF DEBRECEN,17,0.056
UNIVERSITY OF OCCUPATIONAL ENVIRONMENTAL HEALTH JAPAN,17,0.056
UNIVERSITY OF PUERTO RICO MEDICAL SCIENCES CAMPUS,17,0.056
UNIVERSITY OF SIENA,17,0.056
WENZHOU MEDICAL UNIVERSITY,17,0.056
WOOLCOCK INSTITUTE OF MEDICAL RESEARCH,17,0.056
AIR FORCE MILITARY MEDICAL UNIVERSITY,16,0.053
BOSTON COLLEGE,16,0.053
CALIFORNIA POLYTECHNIC STATE UNIVERSITY SAN LUIS OBISPO,16,0.053
CALIFORNIA STATE UNIVERSITY NORTHRIDGE,16,0.053
CAROL DAVILA UNIVERSITY OF MEDICINE PHARMACY,16,0.053
CHARLES R DREW UNIVERSITY OF MEDICINE SCIENCE,16,0.053
CHU DE NANCY,16,0.053
CNRS NATIONAL INSTITUTE FOR BIOLOGY INSB,16,0.053
EASTERN VIRGINIA MEDICAL SCHOOL,16,0.053
EDITH COWAN UNIVERSITY,16,0.053
FAC MED,16,0.053
GREIFSWALD MEDICAL SCHOOL,16,0.053
HOPITAL UNIVERSITAIRE PAUL BROUSSE APHP,16,0.053
HOSPITAL UNIVERSITARIO REINA SOFIA CORDOBA,16,0.053
ICELANDIC HEART ASSOCIATION,16,0.053
INSTITUTO NACIONAL DE CIENCIAS MEDICAS Y NUTRICION SALVADOR ZUBIRAN MEXICO,16,0.053
INT EPIDEMIOL INST,16,0.053
IRCCS POLICLINICO SAN DONATO,16,0.053
ISLAMIC AZAD UNIVERSITY,16,0.053
JOHN HUNTER HOSPITAL,16,0.053
KANSAS STATE UNIVERSITY,16,0.053
KING S COLLEGE HOSPITAL,16,0.053
KURUME UNIVERSITY,16,0.053
LANDSPITALI NATIONAL UNIVERSITY HOSPITAL,16,0.053
LIVERPOOL JOHN MOORES UNIVERSITY,16,0.053
MEDICAL UNIVERSITY GDANSK,16,0.053
MISSOURI BREAKS IND RES INC,16,0.053
NAGOYA CITY UNIVERSITY,16,0.053
NANCHANG UNIVERSITY,16,0.053
NATIONAL CHENG KUNG UNIVERSITY HOSPITAL,16,0.053
NEMOURS CARDIAC CTR,16,0.053
