Funding_Agencies,records,percent_of_total
DEAKIN UNIVERSITY,7,0.023
DUNCAN FAMILY INSTITUTE THROUGH THE CENTER FOR COMMUNITY ENGAGED TRANSLATIONAL RESEARCH,7,0.023
ERASMUS MEDICAL CENTER,7,0.023
FLIGHT ATTENDANT MEDICAL RESEARCH INSTITUTE FAMRI,7,0.023
FRESENIUS,7,0.023
FUNDAMENTAL RESEARCH FUNDS FOR THE CENTRAL UNIVERSITIES OF CENTRAL SOUTH UNIVERSITY,7,0.023
HELLENIC HEALTH FOUNDATION,7,0.023
HUNGARIAN ACADEMY OF SCIENCES,7,0.023
INTERNATIONAL AGENCY FOR RESEARCH ON CANCER,7,0.023
JACOBS FOUNDATION,7,0.023
JOHN W BARTON SR CHAIR IN GENETICS AND NUTRITION,7,0.023
KAYAMORI FOUNDATION,7,0.023
KAYAMORI FOUNDATION OF INFORMATIONAL SCIENCE ADVANCEMENT,7,0.023
KING S COLLEGE LONDON,7,0.023
KING SAUD UNIVERSITY,7,0.023
KU LEUVEN,7,0.023
LIGUE NATIONALE CONTRE LE CANCER,7,0.023
LOUISIANA PUBLIC FACILITIES AUTHORITY ENDOWED CHAIR IN NUTRITION,7,0.023
MACARTHUR FOUNDATION,7,0.023
MEDICAL RESEARCH FOUNDATION OF GUANGDONG PROVINCE,7,0.023
MEDICINES COMPANY,7,0.023
METABOLIC SYNDROME INSTITUTE FRANCE,7,0.023
MICHIGAN CENTER FOR INTEGRATIVE APPROACHES TO HEALTH DISPARITIES NATIONAL INSTITUTE ON MINORITY HEALTH AND HEALTH DISPARITIES,7,0.023
NATIONAL CENTER FOR COMPLEMENTARY AND INTEGRATIVE HEALTH,7,0.023
NATIONAL INSTITUTE ON MINORITY HEALTH AND HEALTH DISPARITIES OF THE NATIONAL INSTITUTES OF HEALTH,7,0.023
NATIONAL KEY RESEARCH AND DEVELOPMENT PROGRAM,7,0.023
NATURAL SCIENCE FOUNDATION OF HUNAN PROVINCE,7,0.023
NETHERLANDS GENOMICS INITIATIVE,7,0.023
OHIO STATE UNIVERSITY,7,0.023
ORSZAGOS TUDOMANYOS KUTATASI ALAPPROGRAMOK OTKA,7,0.023
PROGRAM FOR CHANGJIANG SCHOLARS INNOVATIVE RESEARCH TEAM IN UNIVERSITY PCSIRT,7,0.023
PUBLIC HEALTH AGENCY OF CANADA,7,0.023
REGION SKANE,7,0.023
RESEARCH INSTITUTE FOR ENDOCRINE SCIENCES OF SHAHID BEHESHTI UNIVERSITY OF MEDICAL SCIENCES,7,0.023
ROYAL SOCIETY OF LONDON,7,0.023
RUDD FOUNDATION,7,0.023
SANOFI SYNTHELABO,7,0.023
STROKE ASSOCIATION,7,0.023
SWEDISH GOVERNMENT,7,0.023
SWISS HEART FOUNDATION,7,0.023
TAIWAN MINISTRY OF HEALTH AND WELFARE CLINICAL TRIAL AND RESEARCH CENTER OF EXCELLENCE,7,0.023
TAMPERE UNIVERSITY HOSPITAL MEDICAL FUND,7,0.023
TURKIYE BILIMSEL VE TEKNOLOJIK ARASTIRMA KURUMU TUBITAK,7,0.023
UEHARA MEMORIAL FOUNDATION,7,0.023
UNIVERSITY OF CHICAGO,7,0.023
UNIVERSITY OF OXFORD,7,0.023
UNIVERSITY OF QUEENSLAND,7,0.023
VICHEALTH,7,0.023
WENNER GREN FOUNDATION,7,0.023
AARHUS UNIVERSITY,6,0.02
AFFYMETRIX INC,6,0.02
ALBERT L AND JANET A SCHULTZ SUPPORTING FOUNDATION,6,0.02
AMERICAN ASTHMA FOUNDATION,6,0.02
ATLANTIC PHILANTHROPIES,6,0.02
BASIC SCIENCE RESEARCH PROGRAM THROUGH THE NATIONAL RESEARCH FOUNDATION OF KOREA NRF,6,0.02
BASIC SCIENCE RESEARCH PROGRAM THROUGH THE NATIONAL RESEARCH FOUNDATION OF KOREA NRF MINISTRY OF EDUCATION,6,0.02
BIJZONDER ONDERZOEKSFONDS OF THE KU LEUVEN,6,0.02
BUPA FOUNDATION,6,0.02
CANADIAN FOREST SERVICE,6,0.02
CENTER FOR ENVIRONMENTAL HEALTH AND SUSCEPTIBILITY,6,0.02
CHIEF SCIENTIST OFFICE AT THE SCOTTISH GOVERNMENT HEALTH DIRECTORATES,6,0.02
CHINESE UNIVERSITY OF HONG KONG,6,0.02
COMPETITIVE STATE RESEARCH FINANCING OF THE EXPERT RESPONSIBILITY AREA OF KUOPIO TAMPERE AND TURKU UNIVERSITY HOSPITALS,6,0.02
COORDINATING CENTER,6,0.02
DAIRY RESEARCH INSTITUTE,6,0.02
DANISH LUNG ASSOCIATION,6,0.02
DEPARTAMENTO ADMINISTRATIVO DE CIENCIA TECNOLOGIA E INNOVACION COLCIENCIAS,6,0.02
DEPARTMENT OF BIOTECHNOLOGY DBT INDIA,6,0.02
DEUTSCHER AKADEMISCHER AUSTAUSCH DIENST DAAD,6,0.02
DIABETES RESEARCH FOUNDATION OF FINNISH DIABETES ASSOCIATION,6,0.02
ESTONIAN SCIENCE FOUNDATION,6,0.02
EU HORIZON 2020,6,0.02
EUROPEAN COOPERATION IN SCIENCE AND TECHNOLOGY COST,6,0.02
EUROPEAN REGIONAL DEVELOPMENT FUND VIA OP ZUID,6,0.02
FACULTY OF BIOLOGY AND MEDICINE OF LAUSANNE,6,0.02
FEDERAL MINISTRY OF SCIENCE GERMANY,6,0.02
FINSKA LAKARESALLSKAPET,6,0.02
FOOD STANDARDS AGENCY,6,0.02
GRANT AGENCY OF THE CZECH REPUBLIC,6,0.02
HONG KONG JOCKEY CLUB CHARITIES TRUST,6,0.02
INOUE FOUNDATION FOR SCIENCE,6,0.02
INSTITUTE FOR POLICY RESEARCH AT NORTHWESTERN UNIVERSITY,6,0.02
INTERDISCIPLINARY OBESITY CENTER,6,0.02
IRAN NATIONAL SCIENCE FOUNDATION INSF,6,0.02
ISCHEMIA RESEARCH AND EDUCATION FOUNDATION,6,0.02
JACKSON STATE UNIVERSITY FROM THE NATIONAL HEART LUNG AND BLOOD INSTITUTE NHLBI,6,0.02
JOHN A HARTFORD FOUNDATION,6,0.02
KOREAN CENTERS FOR DISEASE CONTROL AND PREVENTION,6,0.02
KUOPIO UNIVERSITY HOSPITAL,6,0.02
KWF KANKERBESTRIJDING,6,0.02
LINDA JOY POLLIN WOMEN S HEART HEALTH PROGRAM,6,0.02
MAUD KUISTILA FOUNDATION,6,0.02
MINISTRY OF ECONOMIC AFFAIRS NETHERLANDS,6,0.02
MINISTRY OF EDUCATION AND SCIENCE RUSSIAN FEDERATION,6,0.02
MINISTRY OF EDUCATION CHINA 111 PROJECT,6,0.02
MINISTRY OF SCIENCE TECHNOLOGY AND INNOVATION FINEP FINANCIADORA DE ESTUDOS E PROJETOS,6,0.02
MUNICH CENTER OF HEALTH SCIENCES MC HEALTH,6,0.02
NATIONAL CANCER INSTITUTE AT THE NATIONAL INSTITUTES OF HEALTH THROUGH THE UNIVERSITY OF TEXAS MD ANDERSON S CANCER CENTER SUPPORT GRANT,6,0.02
NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCES NATIONAL INSTITUTES OF HEALTH THROUGH UCSF CTSI,6,0.02
NATIONAL CENTER FOR GLOBAL HEALTH MEDICINE JAPAN,6,0.02
NATIONAL CHENG KUNG UNIVERSITY HOSPITAL,6,0.02
NATIONAL INSTITUTE ON AGING S INTRAMURAL RESEARCH PROGRAM,6,0.02
NATIONAL INSTITUTES OF HEALTH NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCES,6,0.02
NATIONAL RESEARCH COUNCIL OF THAILAND NRCT,6,0.02
NATIONAL RESEARCH FOUNDATION NRF,6,0.02
NATIONAL SCIENCE AND TECHNOLOGY SUPPORT PROGRAM,6,0.02
NATIONAL SCIENCE AND TECHNOLOGY SUPPORT PROGRAM OF CHINA,6,0.02
NATIONAL SCIENCE FUND FOR DISTINGUISHED YOUNG SCHOLARS,6,0.02
NATURAL RESOURCES CANADA,6,0.02
NETHERLANDS CANCER REGISTRY NKR,6,0.02
NETHERLANDS INSTITUTE FOR HEALTH SERVICES RESEARCH NIVEL,6,0.02
NETHERLANDS INSTITUTE OF MENTAL HEALTH AND ADDICTION TRIMBOS,6,0.02
NEW ENGLAND MEDICAL CENTER FROM THE NATIONAL HEART LUNG AND BLOOD INSTITUTE,6,0.02
NEW MEXICO TUMOR REGISTRY,6,0.02
NHLBI CANDIDATE GENE ASSOCIATION RESOURCE,6,0.02
NORWEGIAN DIRECTORATE FOR HEALTH AND SOCIAL AFFAIRS,6,0.02
ODENSE UNIVERSITY HOSPITAL,6,0.02
ONTARIO INSTITUTE FOR CANCER RESEARCH,6,0.02
PAULO FOUNDATION,6,0.02
PHILIPS,6,0.02
PHILIPS MEDICAL SYSTEMS,6,0.02
PIERRE FABRE,6,0.02
QUEENSLAND HEALTH,6,0.02
REGION BOURGOGNE FRANCHE COMTE,6,0.02
REGIONAL GOVERNMENT OF SKANE SWEDEN,6,0.02
REGIONE PIEMONTE,6,0.02
RESEARCH INSTITUTE FOR ENDOCRINE SCIENCES SHAHID BEHESHTI UNIVERSITY OF MEDICAL SCIENCES TEHRAN IRAN,6,0.02
ROCHE DIAGNOSTICS SOUTH AFRICA,6,0.02
SASAGAWA SCIENTIFIC RESEARCH GRANT,6,0.02
SCIENCE FOUNDATION IRELAND,6,0.02
SCIENCE TECHNOLOGY AND INNOVATION COMMITTEE OF SHENZHEN,6,0.02
SOUTH AUSTRALIAN DEPARTMENT OF HEALTH,6,0.02
SPENCER FOUNDATION,6,0.02
SWEDISH RESEARCH COUNCIL FOR HEALTH WORKING LIFE AND WELFARE FORTE,6,0.02
TAIPEI VETERANS GENERAL HOSPITAL,6,0.02
TOUGALOO COLLEGE FROM THE NATIONAL HEART LUNG AND BLOOD INSTITUTE NHLBI,6,0.02
TUFTS UNIVERSITY,6,0.02
TURKU UNIVERSITY HOSPITAL,6,0.02
U S ARMY MEDICAL RESEARCH MATERIEL COMMAND USAMRMC,6,0.02
UCLA CALIFORNIA CENTER FOR POPULATION RESEARCH NATIONAL INSTITUTE OF CHILD HEALTH AND HUMAN DEVELOPMENT,6,0.02
UK CLINICAL RESEARCH COLLABORATION,6,0.02
UNC CH CLINIC NUTRITION RESEARCH CENTER,6,0.02
UNILEVER,6,0.02
UNIVERSITY HOSPITAL BASEL,6,0.02
UNIVERSITY OF HELSINKI,6,0.02
UNIVERSITY OF HOUSTON,6,0.02
UNIVERSITY OF NEWCASTLE,6,0.02
UNIVERSITY OF SOUTHERN DENMARK,6,0.02
UNIVERSITY OF WESTERN AUSTRALIA,6,0.02
UNIVERSITY OF WESTERN AUSTRALIA UWA,6,0.02
UNIVERSITY SCHOOL OF MEDICINE OF VERONA VERONA ITALY,6,0.02
VOLKSWAGEN,6,0.02
AGENCIA DE GESTIO D AJUTS UNIVERSITARIS DE RECERCA AGAUR AGAUR,5,0.017
ALTHINGI THE ICELANDIC PARLIAMENT,5,0.017
AMERICAN LEGACY FOUNDATION,5,0.017
AMERICAN LIVER FOUNDATION NEW YORK NY,5,0.017
AMERICAN PSYCHOLOGICAL ASSOCIATION,5,0.017
ARIC,5,0.017
ASTHMA UK,5,0.017
ATSDR CDC HHS,5,0.017
AUSTRALIAN POSTGRADUATE AWARD SCHOLARSHIP,5,0.017
AVON FOUNDATION,5,0.017
BARBRA STREISAND WOMEN S CARDIOVASCULAR RESEARCH AND EDUCATION PROGRAM,5,0.017
BARNES JEWISH HOSPITAL FOUNDATION,5,0.017
BASIC SCIENCE RESEARCH PROGRAM THROUGH THE NATIONAL RESEARCH FOUNDATION OF KOREA NRF MINISTRY OF EDUCATION SCIENCE AND TECHNOLOGY,5,0.017
BAXTER HEALTHCARE,5,0.017
BHP HRSA HHS,5,0.017
BRITISH DEPARTMENT OF HEALTH,5,0.017
BRITISH HEALTH AND SAFETY EXECUTIVE,5,0.017
CAISSE NATIONALE MALADIE DES TRAVAILLEURS SALARIES,5,0.017
CALIFORNIA WALNUT COMMISSION,5,0.017
CANADIAN FOUNDATION FOR DIETETIC RESEARCH,5,0.017
CAPITAL REGION OF DENMARK,5,0.017
CENTRAL SOUTH UNIVERSITY,5,0.017
CENTRE FOR DIET AND ACTIVITY RESEARCH CEDAR A UK CLINICAL RESEARCH COLLABORATION UKCRC PUBLIC HEALTH RESEARCH CENTRE OF EXCELLENCE,5,0.017
CRAFOORD FOUNDATION,5,0.017
DANISH AGENCY FOR SCIENCE TECHNOLOGY AND INNOVATION,5,0.017
DANISH DAIRY RESEARCH FOUNDATION,5,0.017
DANISH DIABETES ACADEMY,5,0.017
DEDMAN FAMILY SCHOLAR IN CLINICAL CARE ENDOWMENT AT UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER,5,0.017
DEPARTMENT OF HEALTH UK,5,0.017
DIRECTION GENERALE DE LA SANTE,5,0.017
DIVISION 38 OF THE AMERICAN PSYCHOLOGICAL ASSOCIATION,5,0.017
DUKE UNIVERSITY,5,0.017
DUNHILL MEDICAL TRUST,5,0.017
DUTCH MINISTRY OF PUBLIC HEALTH WELFARE AND SPORTS,5,0.017
EAST CAROLINA UNIVERSITY,5,0.017
EGMONT FOUNDATION,5,0.017
EMORY UNIVERSITY RACE AND DIFFERENCE INITIATIVE,5,0.017
ERASMUS MEDICAL CENTER AND ERASMUS UNIVERSITY ROTTERDAM,5,0.017
ESPERION,5,0.017
EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH AND HUMAN DEVELOPMENT GRANT,5,0.017
EUNICE KENNEDY SHRIVER NATIONAL INSTITUTE OF CHILD HEALTH HUMAN DEVELOPMENT OF THE NATIONAL INSTITUTES OF HEALTH,5,0.017
EVANS MEDICAL FOUNDATION,5,0.017
EVELYN F MCKNIGHT BRAIN INSTITUTE,5,0.017
FEDERATION FRANCAISE DE CARDIOLOGIE,5,0.017
FINNISH FOUNDATION FOR PEDIATRIC RESEARCH,5,0.017
FINNISH WORK ENVIRONMENT FUND,5,0.017
FONDAZIONE CARIPLO,5,0.017
FOREST,5,0.017
FUNDACIO LA MARATO DE TV3,5,0.017
GEORGETOWN UNIVERSITY,5,0.017
GREEK MINISTRY OF DEVELOPMENT GSRT,5,0.017
GUANGZHOU SCIENCE AND TECHNOLOGY BUREAU GUANGZHOU CHINA,5,0.017
HANELA FOUNDATION,5,0.017
HEALTH FOUNDATION,5,0.017
HEALTH FOUNDATION LIMBURG MAASTRICHT THE NETHERLANDS,5,0.017
HEINZ C PRECHTER BIPOLAR RESEARCH FUND,5,0.017
HELEN BADER FOUNDATION,5,0.017
HELLENIC CARDIOLOGY SOCIETY,5,0.017
HIGHER EDUCATION COMMISSION OF PAKISTAN,5,0.017
HIGHER EDUCATION FUNDING COUNCIL FOR ENGLAND,5,0.017
HOFFMANN LA ROCHE,5,0.017
IMPERIAL COLLEGE BIOMEDICAL RESEARCH CENTRE,5,0.017
INSTITUT DE LA LONGEVITE,5,0.017
INSTITUT NATIONAL DU CANCER INCA FRANCE,5,0.017
INTERNATIONAL DEVELOPMENT RESEARCH CENTER,5,0.017
IPSEN,5,0.017
ISCHEMIA RESEARCH AND EDUCATION FOUNDATION SOUTH SAN FRANCISCO CA,5,0.017
JAPAN ARTERIOSCLEROSIS PREVENTION FUND,5,0.017
JAPAN DIABETES FOUNDATION,5,0.017
JAPAN VASCULAR DISEASE RESEARCH FOUNDATION,5,0.017
JOHN D AND CATHERINE T MACARTHUR FOUNDATION RESEARCH NETWORKS ON SUCCESSFUL MIDLIFE DEVELOPMENT AND SOCIO ECONOMIC STATUS AND HEALTH,5,0.017
JOHN TEMPLETON FOUNDATION,5,0.017
KATSUZO AND KIYO AOSHIMA MEMORIAL FUNDS JAPAN,5,0.017
KIDNEY HEALTH AUSTRALIA,5,0.017
KOWA,5,0.017
KUOPIO UNIVERSITY HOSPITAL MEDICAL FUND,5,0.017
LIECHTENSTEIN GOVERNMENT,5,0.017
MACKAY MEMORIAL HOSPITAL,5,0.017
MARTHA G BLACKBURN CHAIR IN CARDIOVASCULAR RESEARCH,5,0.017
MATERNAL AND CHILD HEALTH BUREAU,5,0.017
MAUDSLEY NHS FOUNDATION TRUST,5,0.017
MEAT AND LIVESTOCK AUSTRALIA,5,0.017
MEDICAL RESEARCH FUND OF TAMPERE UNIVERSITY HOSPITAL,5,0.017
MEIJI YASUDA LIFE FOUNDATION OF HEALTH AND WELFARE,5,0.017
MENARINI,5,0.017
MICHIGAN INSTITUTE FOR CLINICAL AND HEALTH RESEARCH,5,0.017
MINISTRY FOR EDUCATION RESEARCH AND CULTURAL AFFAIRS,5,0.017
MINISTRY OF AGRICULTURE FORESTRY FISHERIES JAPAN,5,0.017
MINISTRY OF HEALTH CZECH REPUBLIC,5,0.017
MINISTRY OF HEALTH SINGAPORE,5,0.017
MISSISSIPPI STATE DEPARTMENT OF HEALTH FROM THE NATIONAL HEART LUNG AND BLOOD INSTITUTE NHLBI,5,0.017
NATIONAL CANCER CENTER JAPAN,5,0.017
NATIONAL CENTER FOR ADVANCING TRANSLATIONAL SCIENCES NATIONAL INSTITUTES OF HEALTH THROUGH UCSF CTSI GRANT,5,0.017
NATIONAL INSTITUTE ON AGING NIA NATIONAL INSTITUTES OF HEALTH DEPARTMENT OF HEALTH AND HUMAN SERVICE,5,0.017
NATIONAL KEY NEW DRUG CREATION AND MANUFACTURING PROGRAM OF MINISTRY OF SCIENCE AND TECHNOLOGY,5,0.017
NATIONAL MULTIPLE SCLEROSIS SOCIETY,5,0.017
NATIONAL NATURAL SCIENCE FOUNDATION OF GUANGXI PROVINCE,5,0.017
NATIONAL SCIENCE CENTRE POLAND,5,0.017
NATIONAL UNIVERSITY OF SINGAPORE,5,0.017
NATURAL SCIENCE FOUNDATION OF FUJIAN PROVINCE,5,0.017
NATURAL SCIENCE FOUNDATION OF HUBEI PROVINCE,5,0.017
NESTLE,5,0.017
NHBLI,5,0.017
NHLBI NATIONAL INSTITUTE ON MINORITY HEALTH AND HEALTH DISPARITIES,5,0.017
NIHR LEICESTER LOUGHBOROUGH DIET LIFESTYLE AND PHYSICAL ACTIVITY BIOMEDICAL RESEARCH UNIT,5,0.017
NORWEGIAN CANCER SOCIETY,5,0.017
NORWEGIAN DIRECTORATE OF HEALTH,5,0.017
NOVARTIS PHARMA,5,0.017
O SHAUGHNESSY FOUNDATION,5,0.017
OFFICE OF JUVENILE JUSTICE AND DELINQUENCY PREVENTION,5,0.017
ORGANON,5,0.017
PARIS 13 UNIVERSITY,5,0.017
PITTSBURGH MIND BODY CENTER,5,0.017
PRIMARY CARE RESEARCH NETWORK,5,0.017
PRIORITY ACADEMIC PROGRAM DEVELOPMENT OF JIANGSU HIGHER EDUCATION INSTITUTIONS PAPD,5,0.017
PROVINCE OF LIMBURG,5,0.017
REGION OF SOUTHERN DENMARK,5,0.017
RESEARCH FUND FOR THE DOCTORAL PROGRAM OF HIGHER EDUCATION OF CHINA RFDP,5,0.017
RESEARCH OF KOREA CENTERS FOR DISEASE CONTROL AND PREVENTION,5,0.017
ROBERT KOCH INSTITUTE,5,0.017
ROSETREES TRUST,5,0.017
SAMSUNG BIOMEDICAL RESEARCH INSTITUTE,5,0.017
SANOFI REGENERON,5,0.017
SCHILLER AG,5,0.017
SEMERGEN GRANT,5,0.017
SHANGHAI MUNICIPAL EDUCATION COMMISSION SHMEC,5,0.017
SKANE UNIVERSITY HOSPITAL,5,0.017
SLOVENIAN RESEARCH AGENCY SLOVENIA,5,0.017
SMOKING RESEARCH FOUNDATION,5,0.017
SOCIETY IN SCIENCE BRANCO WEISS FELLOWSHIP,5,0.017
SOONCHUNHYANG UNIVERSITY RESEARCH FUND,5,0.017
SOUTH AFRICAN RESEARCH CHAIRS INITIATIVE SARCHI OF THE DEPARTMENT OF SCIENCE AND TECHNOLOGY,5,0.017
STANFORD DEAN S POSTDOCTORAL FELLOWSHIP,5,0.017
STANFORD UNIVERSITY,5,0.017
STATISTICS NETHERLANDS,5,0.017
SWEDISH SOCIETY OF MEDICINE,5,0.017
SWISS SOCIETY OF HYPERTENSION,5,0.017
TELETHON INSTITUTE FOR CHILD HEALTH RESEARCH,5,0.017
TEVA,5,0.017
TINBERG FAMILY,5,0.017
TOUGLAOO COLLEGE,5,0.017
TRYGFONDEN,5,0.017
TSENG LIEN LIN FOUNDATION TAICHUNG TAIWAN,5,0.017
TURKU UNIVERSITY HOSPITAL MEDICAL FUNDS,5,0.017
TWENTY 07 STEERING GROUP,5,0.017
UCLA COUSINS CENTER FOR PSYCHONEUROIMMUNOLOGY,5,0.017
UCLA OLDER AMERICANS INDEPENDENCE CENTER,5,0.017
UCLA OLDER AMERICANS INDEPENDENCE CENTER NATIONAL INSTITUTE OF AGING,5,0.017
UK DEPARTMENT OF HEALTH,5,0.017
UNIVERSITY OF BASEL,5,0.017
UNIVERSITY OF BIRMINGHAM UK,5,0.017
UNIVERSITY OF CAMBRIDGE,5,0.017
UNIVERSITY OF HONG KONG,5,0.017
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER FROM THE NHLBI,5,0.017
UNIVERSITY OF THE WITWATERSRAND,5,0.017
UNIVERSITY RESEARCH COUNCIL OF THE UNIVERSITY OF THE WITWATERSRAND,5,0.017
US DEPARTMENT OF EDUCATION,5,0.017
VANDERBILT UNIVERSITY MEDICAL CENTER,5,0.017
VELUX FOUNDATION,5,0.017
VICTORIAN HEALTH PROMOTION FOUNDATION,5,0.017
VINNOVA,5,0.017
WISCONSIN ALUMNI RESEARCH FOUNDATION,5,0.017
WOMEN AND INFANTS RESEARCH FOUNDATION,5,0.017
AFA INSURANCE,4,0.013
AKCEA,4,0.013
ALBERTA CANCER FOUNDATION,4,0.013
ALFRED DEAKIN POSTDOCTORAL RESEARCH FELLOWSHIP,4,0.013
ALMOND BOARD OF CALIFORNIA,4,0.013
ALZHEIMER S SOCIETY,4,0.013
AMERICAN GASTROENTEROLOGICAL ASSOCIATION,4,0.013
AMERICAN INSTITUTE FOR CANCER RESEARCH,4,0.013
AMERICAN LEBANESE SYRIAN ASSOCIATED CHARITIES ALSAC,4,0.013
AMERICAN RECOVERY AND REINVESTMENT ACT,4,0.013
AMERICAN SLEEP MEDICINE FOUNDATION,4,0.013
ARDIX MEDICAL,4,0.013
ARTHRITIS FOUNDATION,4,0.013
ARTHRITIS NATIONAL RESEARCH FOUNDATION,4,0.013
ASSOCIATION DIABETE RISQUE VASCULAIRE,4,0.013
ASSOCIATION OF SPECIALTY PROFESSORS,4,0.013
ATLANTIC PHILANTHROPIES INC,4,0.013
AUSTRALIAN NATIONAL UNIVERSITY,4,0.013
AXA RESEARCH FUND,4,0.013
BANYU LIFE SCIENCE FOUNDATION INTERNATIONAL,4,0.013
BASIC SCIENCE RESEARCH PROGRAM THROUGH THE NATIONAL RESEARCH FOUNDATION OF KOREA NRF MINISTRY OF SCIENCE ICT AND FUTURE PLANNING,4,0.013
BEIJING MUNICIPAL ADMINISTRATION OF HOSPITALS CLINICAL MEDICINE DEVELOPMENT OF SPECIAL FUNDING SUPPORT,4,0.013
BLOOMBERG PHILANTHROPIES,4,0.013
BOSTON UNIVERSITY SCHOOL OF MEDICINE,4,0.013
BRAZILIAN MINISTRY OF SCIENCE AND TECHNOLOGY FINANCIADORA DE ESTUDOS E PROJETOS,4,0.013
CAISSE NATIONALE D ASSURANCE MALADIE DES TRAVAILLEURS SALARIES CNAMTS,4,0.013
CAMS INNOVATION FUND FOR MEDICAL SCIENCES,4,0.013
CAMS INNOVATION FUND FOR MEDICAL SCIENCES CIFMS,4,0.013
CAMS MAJOR COLLABORATIVE INNOVATION PROJECT,4,0.013
CANADIAN DIABETES ASSOCIATION CDA,4,0.013
CARDIONICS,4,0.013
CARDIOVASCULAR CENTER CVC MAASTRICHT THE NETHERLANDS,4,0.013
CENTER FOR AIDS RESEARCH,4,0.013
CHARLES J AND MARGARET ROBERTS TRUST,4,0.013
CHILDREN S CARDIOMYOPATHY FOUNDATION,4,0.013
CHINA JAPAN FRIENDSHIP HOSPITAL MINISTRY OF HEALTH,4,0.013
CHINA MEDICAL UNIVERSITY,4,0.013
CHINESE MEDICAL ASSOCIATION FOUNDATION,4,0.013
CHINESE NUTRITION SOCIETY CNS NUTRITION RESEARCH FOUNDATION DSM RESEARCH FUND,4,0.013
CHUNGNAM NATIONAL UNIVERSITY,4,0.013
CIBER DE DIABETES Y ENFERMEDADES METABOLICAS ASOCIADAS CIBERDEM,4,0.013
CIBEROBN,4,0.013
CIRCULATORY DISORDERS RESEARCH TRUST,4,0.013
CLINICAL NUTRITION RESEARCH UNIT,4,0.013
COLUMBIA UNIVERSITY,4,0.013
COMMONWEALTH OF PENNSYLVANIA DEPARTMENT OF HEALTH,4,0.013
COMMONWEALTH SCIENTIFIC INDUSTRIAL RESEARCH ORGANISATION CSIRO,4,0.013
COMUNIDAD DE MADRID,4,0.013
CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET,4,0.013
COUNTY COUNCIL OF VASTERBOTTEN,4,0.013
CTRC,4,0.013
CTSI,4,0.013
CULLEN TRUST FOR HEALTH CARE ENDOWED CHAIR FUNDS FOR HEALTH DISPARITIES RESEARCH,4,0.013
DAIRY RESEARCH CLUSTER INITIATIVE AGRICULTURE AND AGRI FOOD CANADA,4,0.013
DAIRY RESEARCH CLUSTER INITIATIVE CANADIAN DAIRY COMMISSION,4,0.013
DAIRY RESEARCH CLUSTER INITIATIVE CANADIAN DAIRY NETWORK,4,0.013
DAIRY RESEARCH CLUSTER INITIATIVE DAIRY FARMERS OF CANADA,4,0.013
DANONE INSTITUTE INTERNATIONAL,4,0.013
DANONE NUTRICIA RESEARCH,4,0.013
DEDMAN FAMILY SCHOLAR IN CLINICAL CARE ENDOWMENT AT THE UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER,4,0.013
DIABETES AUSTRALIA,4,0.013
DIADEXUS,4,0.013
DONG A UNIVERSITY,4,0.013
DU PONT PHARMA,4,0.013
DUTCH DAIRY ASSOCIATION NZO,4,0.013
DUTCH MINISTRY OF HEALTH WELFARE AND SPORT,4,0.013
DUTCH MINISTRY OF PUBLIC HEALTH WELFARE AND SPORTS VWS,4,0.013
DZHK GERMAN CENTER FOR CARDIOVASCULAR RESEARCH,4,0.013
EDITH COWAN UNIVERSITY,4,0.013
EDWARDS LIFESCIENCES,4,0.013
EGG NUTRITION CENTER,4,0.013
ENDOCRINE SOCIETY,4,0.013
ENGAGE PROJECT,4,0.013
EXTENDICARE FOUNDATION,4,0.013
FEDERAL OFFICE OF PUBLIC HEALTH,4,0.013
FEDERAL OFFICE OF ROADS AND TRANSPORT,4,0.013
FLIGHT ATTENDANT MEDICAL RESEARCH INSTITUTE,4,0.013
FOOTBALL PLAYERS HEALTH STUDY AT HARVARD UNIVERSITY,4,0.013
FORD FOUNDATION,4,0.013
FRESENIUS MEDICAL CARE,4,0.013
FULBRIGHT PROGRAM,4,0.013
GEESTKRACHT PROGRAM OF THE NETHERLANDS ORGANIZATION FOR HEALTH RESEARCH AND DEVELOPMENT ZON MW,4,0.013
GENERAL CLINICAL RESEARCH CENTERS PROGRAM OF THE NATIONAL CENTER FOR RESEARCH RESOURCES NATIONAL INSTITUTES OF HEALTH,4,0.013
GENOME CANADA,4,0.013
GEORGE A BRAY CHAIR IN NUTRITION,4,0.013
GERMAN AEROSPACE CENTRE DLR,4,0.013
GERMAN FEDERAL MINISTRY OF HEALTH BMG,4,0.013
GOVERNMENT OF RHINELAND PALATINATE STIFTUNG RHEINLAND PFALZ FUR INNOVATION,4,0.013
GOVERNMENT OF SOUTH AUSTRALIA,4,0.013
GRADUATE SCHOOL OF THE UNIVERSITY OF WISCONSIN MADISON,4,0.013
GUANGZHOU PUBLIC HEALTH BUREAU,4,0.013
